Tipo_de_identificación_del_usuario,Numero_de_Identificacion,Primer_apellido_del_usuario,Segundo_apellido_del_usuario,Primer_nombre_del_usuario,Segundo_nombre_del_usuario,Fecha_de_Nacimiento,Sexo,Edad,PESO,ciudad
CC,24389411134134134,HERNANDEZ,ORTIZ,"LUZ ",MIRYAM,"1960-10-10 00:00:00",F,62,63,ARM-20
CC,29620909135135135,CARMONA,CASTAO,"MARIA ",NUBIA,"1955-08-27 00:00:00",F,67,93,CTN-21
CC,396499968136136136,CARDENAS,MEJIA,"SULMA ",YANET,"1967-12-18 00:00:00",F,55,65,SMT-22
CC,111299998549137137137,CARMONA,TABARES,"LUISA ",FERNANDA,"1993-04-02 00:00:00",F,29,59,ARM-21
CC,1114092113138138138,LONDOO,ACEVEDO,NONE,YORLENIS,"1991-10-22 00:00:00",F,31,54,CTN-22
CC,31418061139139139,MOLANO,FLOREZ,"GLORIA ",PATRICIA,"1970-10-05 00:00:00",F,52,88,SMT-23
CC,340002998140140140,AGUIRRE,AGUIRRE,NONE,OFIR,"1979-07-15 00:00:00",F,43,50,ARM-22
CC,100628949999141141141,VELEZ,QUINTERO,"FATIMA ",ELIANA,"2000-02-23 00:00:00",F,23,45,CTN-23
CC,1114094396142142142,OSORIO,MONCADA,"NUR ",CRISTINA,"1996-07-28 00:00:00",F,26,58,SMT-24
CC,298993341143143143,TABAREZ,SANCHEZ,"SANDRA ",MILENA,"1977-01-09 00:00:00",F,46,49,ARM-23
CC,314352399144144144,TABARES,CANO,"LUZ ",ADRIANA,"1984-07-15 00:00:00",F,38,53.8,CTN-24
CC,29159439145145145,MARIN,AMAYA,"GLORIA ",LILIANA,"1982-06-05 00:00:00",F,40,59.5,SMT-25
CC,25019299146146146,MORENO,GOMEZ,NONE,AMANDA,"1965-02-08 00:00:00",F,58,75,ARM-24
CC,11129966329147147147,ZAPATA,RIVERA,"CARLOS ",ARTURO,"1988-12-23 00:00:00",M,34,105,CTN-25
CC,31430922148148148,AGUDELO,NOREA,NONE,ANGELA,"1982-01-09 00:00:00",F,41,45,SMT-26
CC,86002309149149149,CIFUENTES,NULL,NONE,MARIO,"1962-09-27 00:00:00",M,60,70,ARM-25
CC,24996999982150150150,SANCHEZ,NULL,"DIANA ",MILENA,"1984-10-13 00:00:00",F,38,88.4,CTN-26
CC,16221163151151151,ADARBE,VILLA,"HECTOR ",MARIO,"1966-09-20 00:00:00",M,56,78,SMT-27
CC,29624082152152152,MEJIA,NULL,"AURA ",ROSA,"1974-11-13 00:00:00",F,48,64.8,ARM-26
CC,10862998825153153153,GOMEZ,RAMIREZ,"LINA ",MARCELA,"1990-03-31 00:00:00",F,33,70,CTN-27
CC,11129988062154154154,LONDOO,MONTOYA,"DAYHANNA ",MICHELL,"1996-09-03 00:00:00",F,26,109.9,SMT-28
CC,31411589155155155,DUQUE,LLANO,NONE,CECILIA,"1967-04-06 00:00:00",F,55,57,ARM-27
CC,22084512156156156,PALOMINO,QUINCHIA,"ANA ",JULIA,"1935-08-04 00:00:00",F,87,60,CTN-28
CC,31423032157157157,TEJADA,GIRALDO,"GLORIA ",YANIBIA,"1972-12-25 00:00:00",F,50,59.1,SMT-29
CC,201989903158158158,PACHON,NULL,"BLANCA ",CECILIA,"1938-09-14 00:00:00",F,84,64.7,ARM-28
CC,1114093546159159159,CORREA,PULGARIN,"JESSICA ",ANDREA,"1994-08-27 00:00:00",F,28,50,CTN-29
CC,111299999820160160160,PEREZ,RENDON,"JUAN ",CAMILO,"1993-08-31 00:00:00",M,29,91.7,SMT-30
CC,162059983161161161,RUIZ,VELEZ,"CARLOS ",ANCIZAR,"1954-03-16 00:00:00",M,69,81,ARM-29
CC,31435004162162162,JIMENEZ,BUSTAMANTE,"CLAUDIA ",PATRICIA,"1979-10-01 00:00:00",F,43,60,CTN-30
CC,2499599062163163163,OSORIO,OSORIO,"MARIA ",ESNEDA,"1960-05-16 00:00:00",F,62,79,SMT-31
CC,314213993164164164,MOSQUERA,GIL,"BLANCA ",RUBY,"1968-11-02 00:00:00",F,54,76.3,ARM-30
CC,1114093286165165165,SALGADO,OSPINA,"MARIA ",JULIETH,"1994-01-23 00:00:00",F,29,56,CTN-31
CC,65243199166166166,BURITICA,OSPINA,"JOSE ",NORBEY,"1960-12-04 00:00:00",M,62,76,SMT-32
CC,101183999167167167,RAIGOZA,ALVAREZ,"JOSE ",ISMO,"1963-11-30 00:00:00",M,59,53,ARM-31
CC,3999535999168168168,ACOSTA,GUEVARA,"CLAUDIA ",YANETH,"1969-06-10 00:00:00",F,53,67,CTN-32
CC,11129990392169169169,LEON,GUTIERREZ,"DENIZ ",MARSELA,"1997-10-15 00:00:00",F,25,61,SMT-33
CC,11150993695170170170,MURILLO,VELEZ,"YUNY ",MARCELA,"1989-10-13 00:00:00",F,33,61.2,ARM-32
CC,145699290171171171,TAMAYO,URREGO,"JUAN ",MANUEL,"1982-05-11 00:00:00",M,40,67,CTN-33
CC,29158228172172172,GIL,CASTAO,"DIANA ",SOFIA,"1975-11-15 00:00:00",F,47,71.7,SMT-34
CC,24994345173173173,GARCIA,ARBOLEDA,"CESAR ",AUGUSTO,"1980-05-21 00:00:00",M,42,76,ARM-33
CC,1002590958174174174,RIOS,CADAVID,"JOHAN ",STIVEN,"2001-12-02 00:00:00",M,21,84,CTN-34
CC,16211261175175175,NUEZ,BONILLA,"CARLOS ",ENRIQUE,"1959-07-24 00:00:00",M,63,75,SMT-35
CC,1622990699176176176,MONTOYA,ARBOLEDA,"JORGE ",HUMBERTO,"1971-11-16 00:00:00",M,51,78,ARM-34
CC,291569995177177177,RIOS,VILLADA,NONE,ELCIDYA,"1969-05-06 00:00:00",F,53,75,CTN-35
CC,293938699178178178,RIOS,SANCHEZ,NONE,MARLENY,"1953-08-20 00:00:00",F,69,56,SMT-36
CC,3149999035179179179,OSPINA,QUERUBIN,"MARIA ",JHAZMIN,"1971-02-15 00:00:00",F,52,58,ARM-35
CC,1012433961180180180,AGUILERA,GRISALES,"LEIDY ",TATIANA,"1996-07-16 00:00:00",F,26,58,CTN-36
CC,1006320999999181181181,VARGAS,MARTINEZ,NONE,DAYANA,"2003-01-27 00:00:00",F,20,50.1,BOG-01
CC,14569239182182182,SANCHEZ,VARELA,"JOHN ",FREDY,"1983-10-25 00:00:00",M,39,91,CAL-02
CC,1112999962994183183183,ACOSTA,CONTRERAS,"ANA ",MARIA,"1992-06-02 00:00:00",F,30,61,MED-03
CC,100499996691184184184,SUAZA,LOAIZA,"MARIA ",JOSE,"2003-02-05 00:00:00",F,20,59.2,BOG-02
CC,42108262185185185,ERAZO,RAMOS,NONE,YAMILETH,"1973-07-25 00:00:00",F,49,61,CAL-03
CC,291599562186186186,CEBALLOS,RAMIREZ,"GLORIA ",INES,"1968-10-06 00:00:00",F,54,60,MED-04
CC,11129961506187187187,BUSTAMANTE,ARENAS,"LEIDY ",MARCELA,"1987-04-07 00:00:00",F,35,94.4,BOG-03
CC,111299902099188188188,DUQUE,MEJIA,NONE,VALERIA,"1997-09-20 00:00:00",F,25,62,CAL-04
CC,31433329189189189,HOLGUIN,FLOREZ,"EDILIA ",YANETH,"1980-08-02 00:00:00",F,42,79,MED-05
CC,111299909939190190190,FLOR,ACOSTA,"LUISA ",MARIA,"1997-12-27 00:00:00",F,25,93,BOG-04
CC,9994103191191191,GUEVARA,GIL,NONE,GERMAN,"1974-05-27 00:00:00",M,48,74.5,CAL-05
CC,10885399604192192192,OQUENDO,BERMUDEZ,"CINDY ",VANESA,"1991-12-19 00:00:00",F,31,78,MED-06
CC,62839908193193193,JIMENEZ,HERRERA,"NELSON ",JESUS,"1969-06-06 00:00:00",M,53,72,BOG-05
CC,10022231194194194,MOSQUERA,RESTREPO,NONE,ALBER,"1974-11-09 00:00:00",M,48,92.4,CAL-06
CC,11129958399195195195,HENAO,CASTAO,"JAVIER ",ANTONIO,"1984-09-23 00:00:00",M,38,90,MED-07
CC,16233329196196196,ARANGO,BEDOYA,"MILTON ",CESAR,"1975-11-28 00:00:00",M,47,110,BOG-06
CC,31641823197197197,ORREGO,MORALES,"MARIA ",EDITH,"1979-02-01 00:00:00",F,44,59,CAL-07
CC,111299990243198198198,OSPINA,GRANADA,"ANDRES ",FELIPE,"1990-05-27 00:00:00",M,32,72,MED-08
CC,992168664199199199,MERIO,RODRIGUEZ,"MARTIN ",ANTONIO,"1968-08-25 00:00:00",M,54,86.2,BOG-07
CC,31414114200200200,MUOZ,MUOZ,"OMAIRA ",JESUS,"1968-11-14 00:00:00",F,54,64,CAL-08
CC,314199285201201201,VASQUEZ,CARDONA,"OLGA ",PIEDAD,"1970-01-06 00:00:00",F,53,64.8,MED-09
CC,6244163202202202,GALLO,ALZATE,"JORGE ",ELIECER,"1947-04-11 00:00:00",M,75,83,BOG-08
CC,169948808203203203,ZORRILLA,NULL,"IVAN ",ADOLFO,"1967-03-09 00:00:00",M,56,72.5,CAL-09
CC,145991902204204204,CANO,VEGA,"CESAR ",ALBERTO,"1985-08-19 00:00:00",M,37,81,MED-10
CC,516029906205205205,VELEZ,MONTES,"GLORIA ",LUCIA,"1956-12-27 00:00:00",F,66,50.6,BOG-09
CC,31405611206206206,MARIN,PEUELA,NONE,ELIZABETH,"1963-06-08 00:00:00",F,59,77,CAL-10
CC,31416561207207207,VELEZ,PEA,"CLAUDIA ",BEATRIZ,"1971-03-14 00:00:00",F,52,74.5,MED-11
CC,1088341443208208208,MARIN,MESA,"LEIDY ",JOHANNA,"1997-03-10 00:00:00",F,26,62,BOG-10
CC,29135345209209209,ROJAS,PEREZ,"MARIA ",LORENZA,"1965-02-08 00:00:00",F,58,59,CAL-11
CC,29934649210210210,TORO,BUSTAMANTE,"MARIA ",NILSA,"1964-03-13 00:00:00",F,59,76,MED-12
CC,9989960951211211211,ORDOEZ,TRESPALACIO,"MANUEL ",ENRIQUE,"1974-09-08 00:00:00",M,48,75.4,BOG-11
CC,111299842998212212212,RODRIGUEZ,IDARRAGA,"YESICA ",YOHANA,"1995-03-18 00:00:00",F,28,66,CAL-12
CC,29154500213213213,VALENCIA,ZULUAGA,NONE,EDILMA,"1957-07-20 00:00:00",F,65,81.4,MED-13
CC,29159088214214214,OCAMPO,ACOSTA,NONE,MILLERLADIS,"1981-04-03 00:00:00",F,41,54,BOG-12
CC,1112999965499215215215,HILARION,ESCOBAR,"KAREN ",TATIANA,"1992-07-14 00:00:00",F,30,75,CAL-13
CC,111998219999216216216,VARON,NAVARRETE,"MARIA ",CAROLINA,"1993-07-02 00:00:00",F,29,85.6,MED-14
CC,843990995217217217,LOAIZA,CORREA,"JOHN ",KENNEDY,"1981-12-27 00:00:00",M,41,86,BOG-13
CC,31398180218218218,GALLEGO,"DE ORTIZ",NONE,LIBIA,"1953-12-03 00:00:00",F,69,48,CAL-14
CC,31429999990219219219,OCHOA,GUTIERREZ,NONE,MARILUZ,"1979-04-12 00:00:00",F,43,99,MED-15
CC,2969968299220220220,LOZANO,BEJARANO,"HEIDY ",YHOANA,"1982-12-10 00:00:00",F,40,44,BOG-14
CC,9863436221221221,VILLANEDA,CHOREN,"ANDRES ",MAURICIO,"1983-11-12 00:00:00",M,39,67.8,CAL-15
CC,111299998529222222222,GIL,IDARRAGA,NONE,VIVIANA,"1993-03-25 00:00:00",F,30,74.3,MED-16
